15:27:59 | 401 |      64.743µs | 127.0.0.1 | GET | /stocks/PETR4/history | -
15:27:59 | 401 |      69.882µs | 127.0.0.1 | GET | /favicon.ico | -
15:28:36 | 401 |      49.153µs | 127.0.0.1 | GET | /stocks/PETR4 | -
15:30:54 | 401 |     118.705µs | 127.0.0.1 | GET | /stocks/PETR4 | -
15:31:23 | 401 |      69.652µs | 127.0.0.1 | GET | /stocks/PETR4 | -
15:32:29 | 401 |      88.397µs | 127.0.0.1 | GET | /stocks/PETR4 | -
15:38:21 | 401 |      41.379µs | 127.0.0.1 | GET | /stocks/PETR4/history | -
15:38:21 | 401 |      51.127µs | 127.0.0.1 | GET | /favicon.ico | -
15:39:37 | 200 |      85.723µs | 127.0.0.1 | GET | /stocks/PETR4 | -
15:39:54 | 401 |      17.663µs | 127.0.0.1 | GET | /favicon.ico | -
15:40:28 | 401 |      19.808µs | 127.0.0.1 | GET | /stocks/PETR4 | -
15:41:05 | 401 |      56.417µs | 127.0.0.1 | GET | /stocks/PETR4 | -
15:41:35 | 200 |      89.009µs | 127.0.0.1 | GET | /stocks/PETR4 | -
15:42:04 | 401 |      55.435µs | 127.0.0.1 | GET | /stocks/PETR4 | -
16:07:35 | 401 |    1.284428ms | 127.0.0.1 | GET | /stocks/PETR4 | -
16:09:21 | 200 |     979.758µs | 127.0.0.1 | GET | /stocks/PETR4 | -
16:21:03 | 500 |  560.413946ms | 127.0.0.1 | GET | /stocks/PETR4 | -
16:24:30 | 500 |  411.343796ms | 127.0.0.1 | GET | /stocks/PETR4 | -
16:32:52 | 500 | 37.495147357s | 127.0.0.1 | GET | /stocks/PETR4 | -
17:20:44 | 401 |      53.001µs | 127.0.0.1 | GET | /stocks/IBM/history | -
17:21:22 | 400 |     939.801µs | 127.0.0.1 | GET | /stocks/IBM/history | -
17:31:43 | 200 |  1.345894203s | 127.0.0.1 | GET | /stocks/IBM/history | -
18:00:28 | 400 |    1.456435ms | 127.0.0.1 | GET | /stocks/AAPL | -
18:01:00 | 200 |  2.158192971s | 127.0.0.1 | GET | /stocks/IBM/history | -
18:01:09 | 400 |     830.832µs | 127.0.0.1 | GET | /stocks/AAPL | -
18:01:40 | 200 |  1.304072341s | 127.0.0.1 | GET | /stocks/IBM/history | -
18:01:47 | 400 |         650µs | 127.0.0.1 | GET | /stocks/AAPL | -
18:06:12 | 200 |  610.404039ms | 127.0.0.1 | GET | /stocks/MSFT/history | -
18:06:34 | 200 |   775.63956ms | 127.0.0.1 | GET | /stocks/IBM/history | -
18:06:42 | 400 |     894.413µs | 127.0.0.1 | GET | /stocks/AAPL | -
18:07:07 | 400 |     754.247µs | 127.0.0.1 | GET | /stocks/MSFT | -
18:12:46 | 200 |  852.814107ms | 127.0.0.1 | GET | /stocks/IBM | -
18:12:57 | 200 |  647.962925ms | 127.0.0.1 | GET | /stocks/IBM/history | -
18:13:37 | 400 |     750.822µs | 127.0.0.1 | GET | /stocks/AAPL | -
18:13:55 | 200 |  690.540463ms | 127.0.0.1 | GET | /stocks/AAPL | -
18:14:10 | 200 |   1.45944592s | 127.0.0.1 | GET | /stocks/AAPL/history | -
06:10:33 | 401 |     1.12528ms | 127.0.0.1 | GET | /stocks/AAPL/history | -
06:11:02 | 401 |     819.976µs | 127.0.0.1 | GET | /stocks/MSFT/history | -
06:11:04 | 401 |     865.381µs | 127.0.0.1 | GET | /stocks/MSFT/history | -
06:18:48 | 401 |       42.27µs | 127.0.0.1 | GET | /stocks/MSFT/history | -
06:19:06 | 401 |       20.62µs | 127.0.0.1 | GET | /stocks/MSFT/history | -
06:19:21 | 401 |      32.551µs | 127.0.0.1 | GET | /stocks/MSFT/history | -
06:19:34 | 401 |      23.405µs | 127.0.0.1 | GET | /stocks/AAPL/history | -
06:19:42 | 401 |      26.941µs | 127.0.0.1 | GET | /stocks/AAPL/history | -
06:20:07 | 401 |     841.254µs | 127.0.0.1 | GET | /stocks/MSFT/history | -
06:21:53 | 200 |  856.803897ms | 127.0.0.1 | GET | /stocks/MSFT/history | -
06:22:06 | 200 |  536.299664ms | 127.0.0.1 | GET | /stocks/MSFT | -
06:22:20 | 200 |  535.427726ms | 127.0.0.1 | GET | /stocks/AAPL/history | -
06:22:35 | 200 |  536.880814ms | 127.0.0.1 | GET | /stocks/AAPL | -
07:34:12 | 401 |       89.81µs | 127.0.0.1 | GET | /stocks/PETR4 | -
07:34:12 | 401 |      71.957µs | 127.0.0.1 | GET | /favicon.ico | -
08:17:02 | 200 |  707.182422ms | 127.0.0.1 | GET | /stocks/PETR4/history | -
08:17:02 | 200 |  746.153677ms | 127.0.0.1 | GET | /stocks/PETR4/history | -
08:17:03 | 500 |  523.373242ms | 127.0.0.1 | GET | /stocks/PETR4 | -
08:17:03 | 500 |  595.448187ms | 127.0.0.1 | GET | /stocks/PETR4 | -
08:17:44 | 200 |  536.998027ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:17:44 | 200 |  566.475722ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:17:45 | 200 |  516.258067ms | 127.0.0.1 | GET | /stocks/IBM | -
08:17:45 | 200 |   695.77301ms | 127.0.0.1 | GET | /stocks/IBM | -
08:17:50 | 200 |   477.59752ms | 127.0.0.1 | GET | /stocks/VALE3/history | -
08:17:50 | 200 |  475.041534ms | 127.0.0.1 | GET | /stocks/VALE3/history | -
08:17:50 | 500 |  488.353702ms | 127.0.0.1 | GET | /stocks/VALE3 | -
08:17:50 | 500 |  490.798868ms | 127.0.0.1 | GET | /stocks/VALE3 | -
08:17:51 | 200 |  482.392121ms | 127.0.0.1 | GET | /stocks/ITUB4/history | -
08:17:51 | 200 |  484.800526ms | 127.0.0.1 | GET | /stocks/ITUB4/history | -
08:17:51 | 500 |  244.699211ms | 127.0.0.1 | GET | /stocks/ITUB4 | -
08:17:51 | 200 |  474.198516ms | 127.0.0.1 | GET | /stocks/BBDC4/history | -
08:17:51 | 200 |  500.492815ms | 127.0.0.1 | GET | /stocks/BBDC4/history | -
08:17:51 | 500 |  478.956026ms | 127.0.0.1 | GET | /stocks/ITUB4 | -
08:17:52 | 500 |    240.6793ms | 127.0.0.1 | GET | /stocks/BBDC4 | -
08:17:52 | 200 |  303.725095ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:17:52 | 500 |  471.589159ms | 127.0.0.1 | GET | /stocks/BBDC4 | -
08:17:52 | 200 |  528.533948ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:17:52 | 200 |  545.939265ms | 127.0.0.1 | GET | /stocks/IBM | -
08:17:52 | 500 |   402.50695ms | 127.0.0.1 | GET | /stocks/IBM | -
08:19:11 | 400 |  171.433793ms | 127.0.0.1 | GET | /stocks/AAPL/history | -
08:19:11 | 400 |  409.525906ms | 127.0.0.1 | GET | /stocks/AAPL/history | -
08:19:12 | 400 |  390.453468ms | 127.0.0.1 | GET | /stocks/JPM/history | -
08:19:12 | 400 |  400.763454ms | 127.0.0.1 | GET | /stocks/JPM/history | -
08:19:14 | 400 |  381.736984ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:19:14 | 400 |  384.489081ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:19:17 | 400 |  399.083137ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:19:17 | 400 |  412.641441ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:19:18 | 400 |  164.030507ms | 127.0.0.1 | GET | /stocks/AAPL/history | -
08:19:18 | 400 |  399.927048ms | 127.0.0.1 | GET | /stocks/AAPL/history | -
08:19:18 | 400 |  417.143025ms | 127.0.0.1 | GET | /stocks/JPM/history | -
08:19:18 | 400 |  425.488987ms | 127.0.0.1 | GET | /stocks/JPM/history | -
08:19:19 | 400 |   392.70711ms | 127.0.0.1 | GET | /stocks/BBDC4/history | -
08:19:19 | 400 |  413.698425ms | 127.0.0.1 | GET | /stocks/BBDC4/history | -
08:19:25 | 400 |  401.710718ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:19:25 | 400 |  405.891594ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:20:06 | 400 |  184.800057ms | 127.0.0.1 | GET | /stocks/IBM/history | -
08:20:06 | 400 |  411.479668ms | 127.0.0.1 | GET | /stocks/IBM/history | -
